"Building.Name","Units","month","Type","Value","SSP"
"HSJ","kWh",5,"Cooling",18.9393543950567,"Original EPW"
"HSJ","kWh",6,"Cooling",887.135190671165,"Original EPW"
"HSJ","kWh",7,"Cooling",8715.60885399976,"Original EPW"
"HSJ","kWh",8,"Cooling",5048.04087112113,"Original EPW"
"HSJ","kWh",9,"Cooling",4368.07248789285,"Original EPW"
"HHL","kWh",1,"Cooling",0,"Original EPW"
"HHL","kWh",10,"Cooling",0,"Original EPW"
"HHL","kWh",11,"Cooling",0,"Original EPW"
"HHL","kWh",12,"Cooling",0,"Original EPW"
"HHL","kWh",2,"Cooling",0,"Original EPW"
"HHL","kWh",3,"Cooling",0,"Original EPW"
"HHL","kWh",4,"Cooling",0.627760299066062,"Original EPW"
"HHL","kWh",5,"Cooling",7.60369704602845,"Original EPW"
"HHL","kWh",6,"Cooling",269.091238712022,"Original EPW"
"HHL","kWh",7,"Cooling",2734.92682099699,"Original EPW"
"HHL","kWh",8,"Cooling",1606.4863699683,"Original EPW"
"HHL","kWh",9,"Cooling",1409.47174870493,"Original EPW"
"OSS","kWh",1,"Cooling",0,"Original EPW"
"OSS","kWh",10,"Cooling",0,"Original EPW"
"OSS","kWh",11,"Cooling",0,"Original EPW"
"OSS","kWh",12,"Cooling",0,"Original EPW"
"OSS","kWh",2,"Cooling",0,"Original EPW"
"OSS","kWh",3,"Cooling",0,"Original EPW"
"OSS","kWh",4,"Cooling",0.0133895569500744,"Original EPW"
"OSS","kWh",5,"Cooling",0.423386154544787,"Original EPW"
"OSS","kWh",6,"Cooling",16.5842157289128,"Original EPW"
"OSS","kWh",7,"Cooling",172.747871635082,"Original EPW"
"OSS","kWh",8,"Cooling",105.75131236054,"Original EPW"
"OSS","kWh",9,"Cooling",93.585582455015,"Original EPW"
"HSG","kWh",1,"Cooling",0,"Original EPW"
"HSG","kWh",10,"Cooling",0,"Original EPW"
"HSG","kWh",11,"Cooling",0,"Original EPW"
"HSG","kWh",12,"Cooling",0,"Original EPW"
"HSG","kWh",2,"Cooling",0,"Original EPW"
"HSG","kWh",3,"Cooling",0,"Original EPW"
"HSG","kWh",4,"Cooling",0.600141436699924,"Original EPW"
"HSG","kWh",5,"Cooling",8.13951515869032,"Original EPW"
"HSG","kWh",6,"Cooling",473.695933232332,"Original EPW"
"HSG","kWh",7,"Cooling",4599.3061177547,"Original EPW"
"HSG","kWh",8,"Cooling",2717.38405062607,"Original EPW"
"HSG","kWh",9,"Cooling",2468.03485056695,"Original EPW"
"HSK","kWh",1,"Cooling",0,"Original EPW"
"HSK","kWh",10,"Cooling",0,"Original EPW"
"HSK","kWh",11,"Cooling",0,"Original EPW"
"HSK","kWh",12,"Cooling",0,"Original EPW"
"HSK","kWh",2,"Cooling",0,"Original EPW"
"HSK","kWh",3,"Cooling",0,"Original EPW"
"HSK","kWh",4,"Cooling",4.76591657567276,"Original EPW"
"HSK","kWh",5,"Cooling",40.2566763500307,"Original EPW"
"HSK","kWh",6,"Cooling",1567.17745437155,"Original EPW"
"HSK","kWh",7,"Cooling",15051.9645191295,"Original EPW"
"HSK","kWh",8,"Cooling",9114.06894740206,"Original EPW"
"HSK","kWh",9,"Cooling",8880.22480036239,"Original EPW"
"CHCL","kWh",1,"Cooling",0,"Original EPW"
"CHCL","kWh",10,"Cooling",0,"Original EPW"
"CHCL","kWh",11,"Cooling",0,"Original EPW"
"CHCL","kWh",12,"Cooling",0,"Original EPW"
"CHCL","kWh",2,"Cooling",0,"Original EPW"
"CHCL","kWh",3,"Cooling",0,"Original EPW"
"CHCL","kWh",4,"Cooling",2.01629738557261,"Original EPW"
"CHCL","kWh",5,"Cooling",13.7210101575651,"Original EPW"
"CHCL","kWh",6,"Cooling",516.666084498024,"Original EPW"
"CHCL","kWh",7,"Cooling",5089.31309729778,"Original EPW"
"CHCL","kWh",8,"Cooling",3032.49382748226,"Original EPW"
